Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result
2010_Kentucky,SEC,38,35,115.52,89.15,0.95204,53.032,43.13,20.3164,1.0,8.0
2010_Ohio_St_,B10,37,29,118.09,92.823,0.94095,56.14,47.187,17.536,2.0,16.0
2010_Kansas_St_,B12,36,28,116.914,92.018,0.94056,50.687,46.875,19.9141,2.0,8.0
2010_Baylor,B12,35,27,120.44,95.348,0.93677,54.415,44.52,20.3164,3.0,8.0
2010_West_Virginia,BE,38,31,117.312,92.825,0.93618,48.916,46.981,18.362,2.0,4.0
2010_Wisconsin,B10,33,24,116.118,92.119,0.93509,51.462,46.875,14.52,4.0,32.0
2010_Purdue,B10,35,29,109.269,87.73,0.92601,49.1151,44.826,16.312,4.0,16.0
2010_BYU,MWC,35,29,117.71,94.639,0.924811,54.911,46.668,15.96,7.0,32.0
2010_Texas_A_M,B12,33,23,112.342,91.112,0.916912,49.6131,46.774,18.469,5.0,32.0
2010_California,P10,35,24,120.43,97.88,0.916113,53.329,48.3139,17.743,8.0,32.0
2010_Butler,Horz,38,33,109.863,89.67,0.912514,51.08,46.668,18.788,5.0,2.0
2010_Maryland,ACC,32,23,118.37,96.766,0.910115,51.851,45.029,16.312,4.0,32.0
2010_Georgetown,BE,34,23,116.815,95.956,0.906116,55.75,47.499,20.92,3.0,32.0
2010_Clemson,ACC,32,21,111.449,91.516,0.905517,51.175,46.458,21.4229,7.0,
2010_Xavier,A10,35,26,116.616,95.855,0.905218,52.244,45.642,18.054,6.0,16.0
2010_Temple,A10,35,29,108.285,89.04,0.904919,49.1151,43.02,16.818,5.0,
2010_Villanova,BE,33,25,117.511,96.665,0.90462,52.244,47.499,18.996,2.0,32.0
2010_Missouri,B12,34,23,112.143,92.322,0.903921,50.1103,45.949,17.846,10.0,32.0
2010_Texas,B12,34,24,114.129,94.035,0.902622,51.175,44.928,18.362,8.0,
2010_Michigan_St_,B10,37,28,113.532,93.731,0.900423,51.656,46.668,21.0204,5.0,4.0
2010_Utah_St_,WAC,34,26,116.317,96.159,0.898924,55.19,46.153,16.312,12.0,
2010_Minnesota,B10,35,21,114.525,94.741,0.898025,53.131,46.563,19.098,11.0,
2010_Marquette,BE,34,22,115.422,95.55,0.897826,52.834,49.72,15.96,6.0,
2010_Northern_Iowa,MVC,35,30,109.566,90.79,0.896427,49.6131,46.668,17.948,9.0,16.0
2010_Washington,P10,36,26,113.038,93.73,0.895828,49.7128,46.563,17.536,11.0,16.0
2010_Oklahoma_St_,B12,33,22,114.426,95.146,0.893529,52.441,48.1134,18.469,7.0,
2010_Notre_Dame,BE,35,23,120.35,100.4125,0.88863,53.72,49.3177,16.09,6.0,
2010_Georgia_Tech,ACC,35,22,109.862,91.717,0.888531,50.396,44.317,23.2313,10.0,
2010_Florida_St_,ACC,32,22,104.5144,87.32,0.888132,50.591,43.56,24.3327,9.0,
2010_Tennessee,SEC,37,28,109.567,91.515,0.887133,50.687,45.235,18.996,6.0,8.0
2010_UNLV,MWC,33,24,111.647,93.327,0.886434,52.244,45.847,17.228,8.0,
2010_UTEP,CUSA,33,26,108.482,90.91,0.883935,52.834,44.621,18.788,12.0,
2010_Pittsburgh,BE,34,25,111.846,93.729,0.883536,49.6131,44.621,19.4122,3.0,32.0
2010_Gonzaga,WCC,33,26,112.441,95.042,0.874338,54.018,46.875,18.684,8.0,32.0
2010_Old_Dominion,CAA,36,27,108.188,91.313,0.874139,48.8165,45.541,20.1156,11.0,32.0
2010_Vanderbilt,SEC,32,23,114.127,96.563,0.87264,52.639,47.086,19.3116,4.0,
2010_Saint_Mary_s,WCC,33,27,115.919,98.692,0.864542,55.37,46.153,17.124,10.0,16.0
2010_San_Diego_St_,MWC,32,23,111.548,95.349,0.858044,51.752,46.981,20.8189,11.0,
2010_New_Mexico,MWC,35,30,114.823,98.588,0.854345,50.687,49.5191,16.21,3.0,32.0
2010_Louisville,BE,33,20,114.824,98.69,0.852547,51.462,48.5149,20.0148,9.0,
2010_Richmond,A10,35,26,109.171,93.933,0.848448,51.175,44.214,16.92,7.0,
2010_Cornell,Ivy,32,27,118.08,101.9156,0.844349,56.53,48.1134,18.684,12.0,16.0
2010_Florida,SEC,34,21,113.334,98.284,0.83955,49.4139,48.4144,18.576,10.0,
2010_Wake_Forest,ACC,31,20,107.695,93.628,0.831654,47.0251,43.88,21.1208,9.0,32.0
2010_Siena,MAAC,34,27,108.775,96.664,0.796166,49.3142,48.013,17.433,13.0,
2010_Murray_St_,OVC,34,29,107.694,95.652,0.795067,55.28,44.01,21.5238,13.0,32.0
2010_Wofford,SC,34,25,104.8141,95.044,0.754579,49.1151,46.563,18.362,13.0,
2010_Houston,CUSA,34,18,112.54,103.0178,0.735585,48.1197,51.227,12.41,13.0,
2010_Sam_Houston_St_,Slnd,29,21,110.656,101.9158,0.718192,53.72,50.2228,18.893,14.0,
2010_Ohio,MAC,36,21,107.597,100.1118,0.6934102,49.4139,46.875,18.159,14.0,32.0
2010_New_Mexico_St_,WAC,33,21,111.151,105.5232,0.6448114,53.23,51.1267,17.846,12.0,
2010_Montana,BSky,30,20,105.5136,101.2144,0.6181128,54.216,47.611,19.1102,14.0,
2010_UC_Santa_Barbara,BW,29,19,100.6202,97.471,0.5933138,50.784,48.013,22.6289,15.0,
2010_Oakland,Sum,33,24,107.498,104.5212,0.5785141,49.0155,50.3235,19.7132,14.0,
2010_Vermont,AE,35,25,103.5159,101.3147,0.5626148,48.2191,45.029,20.5179,16.0,
2010_East_Tennessee_St_,ASun,34,19,99.1231,98.896,0.5099166,47.7216,48.6154,21.1208,16.0,
2010_Morgan_St_,MEAC,37,27,104.4146,104.3206,0.5029169,47.5227,46.563,19.098,15.0,
2010_Lehigh,Pat,33,22,105.8128,106.3243,0.4846177,51.462,48.7155,18.469,16.0,
2010_North_Texas,SB,31,22,102.717,103.5192,0.476218,50.494,47.8116,21.2219,15.0,
2010_Robert_Morris,NEC,35,23,100.3208,101.415,0.4702183,48.916,46.981,21.926,15.0,
2010_Winthrop,BSth,31,17,90.9322,97.068,0.3217234,41.6344,45.744,18.054,16.0,
2010_Arkansas_Pine_Bluff,SWAC,33,17,91.8315,98.285,0.3159238,44.8315,45.847,24.4329,16.0,
2024_Connecticut,BE,40,37,128.01,91.34,0.97991,56.97,44.43,14.534,1.0,1.0
2024_Houston,B12,37,32,119.615,86.51,0.97662,50.3195,44.02,13.89,1.0,16.0
2024_Purdue,B10,39,34,126.03,94.515,0.96493,55.813,47.538,16.4134,1.0,2.0
